,행정기관코드,행정기관1,행정기관2,행정기관3,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시,,,,"9,509,458","4,426,007",          2.15,"4,618,040","4,891,418",          0.94
1111000000,서울특별시,종로구,,,"144,683","73,494",          1.97,"70,183","74,500",          0.94
1111051500,서울특별시,종로구,청운효자동,,"11,978","5,241",          2.29,"5,526","6,452",          0.86
1111053000,서울특별시,종로구,사직동,,"9,372","4,696",          2.00,"4,200","5,172",          0.81
1111054000,서울특별시,종로구,삼청동,,"2,456","1,229",          2.00,"1,168","1,288",          0.91
1111055000,서울특별시,종로구,부암동,,"9,579","4,265",          2.25,"4,570","5,009",          0.91
1111056000,서울특별시,종로구,평창동,,"18,152","7,509",          2.42,"8,457","9,695",          0.87
1111057000,서울특별시,종로구,무악동,,"8,259","3,069",          2.69,"3,841","4,418",          0.87
1111058000,서울특별시,종로구,교남동,,"10,046","4,458",          2.25,"4,634","5,412",          0.86
1111060000,서울특별시,종로구,가회동,,"4,088","1,991",          2.05,"1,884","2,204",          0.85
1111061500,서울특별시,종로구,종로1.2.3.4가동,,"7,197","5,247",          1.37,"4,251","2,946",          1.44
1111063000,서울특별시,종로구,종로5.6가동,,"5,089","3,385",          1.50,"2,720","2,369",          1.15
1111064000,서울특별시,종로구,이화동,,"7,231","4,298",          1.68,"3,419","3,812",          0.90
1111065000,서울특별시,종로구,혜화동,,"16,383","9,187",          1.78,"7,904","8,479",          0.93
1111067000,서울특별시,종로구,창신제1동,,"4,891","2,823",          1.73,"2,626","2,265",          1.16
1111068000,서울특별시,종로구,창신제2동,,"7,911","4,043",          1.96,"4,082","3,829",          1.07
1111069000,서울특별시,종로구,창신제3동,,"6,575","2,798",          2.35,"3,242","3,333",          0.97
1111070000,서울특별시,종로구,숭인제1동,,"5,837","2,970",          1.97,"2,811","3,026",          0.93
1111071000,서울특별시,종로구,숭인제2동,,"9,639","6,285",          1.53,"4,848","4,791",          1.01
1114000000,서울특별시,중구,,,"122,499","63,519",          1.93,"59,630","62,869",          0.95
1114052000,서울특별시,중구,소공동,,"2,250","1,296",          1.74,"1,077","1,173",          0.92
1114054000,서울특별시,중구,회현동,,"4,784","2,748",          1.74,"2,488","2,296",          1.08
1114055000,서울특별시,중구,명동,,"2,884","1,539",          1.87,"1,262","1,622",          0.78
1114057000,서울특별시,중구,필동,,"4,023","2,479",          1.62,"2,045","1,978",          1.03
1114058000,서울특별시,중구,장충동,,"4,590","2,750",          1.67,"2,351","2,239",          1.05
1114059000,서울특별시,중구,광희동,,"5,255","3,390",          1.55,"2,688","2,567",          1.05
1114060500,서울특별시,중구,을지로동,,"1,738","1,345",          1.29,"1,048",690,          1.52
1114061500,서울특별시,중구,신당동,,"7,673","4,729",          1.62,"3,782","3,891",          0.97
1114062500,서울특별시,중구,다산동,,"13,798","6,886",          2.00,"6,712","7,086",          0.95
1114063500,서울특별시,중구,약수동,,"16,676","7,834",          2.13,"7,750","8,926",          0.87
1114064500,서울특별시,중구,청구동,,"13,588","6,287",          2.16,"6,438","7,150",          0.90
1114065000,서울특별시,중구,신당제5동,,"10,363","5,387",          1.92,"5,051","5,312",          0.95
1114066500,서울특별시,중구,동화동,,"10,266","4,090",          2.51,"4,956","5,310",          0.93
1114067000,서울특별시,중구,황학동,,"12,576","7,088",          1.77,"5,997","6,579",          0.91
1114068000,서울특별시,중구,중림동,,"12,035","5,671",          2.12,"5,985","6,050",          0.99
1117000000,서울특별시,용산구,,,"222,953","111,036",          2.01,"107,210","115,743",          0.93
1117051000,서울특별시,용산구,후암동,,"16,833","8,465",          1.99,"8,211","8,622",          0.95
1117052000,서울특별시,용산구,용산2가동,,"9,456","5,247",          1.80,"4,569","4,887",          0.93
